frame,time_sec,fhi,class_dominant,n_dets,source_dominant
2,0.033,92.8,Lush Green,9,hsv-primary
4,0.1,92.77,Lush Green,8,hsv-primary
6,0.167,93.199,Lush Green,6,hsv-primary
8,0.233,93.4393,Lush Green,8,hsv-primary
10,0.3,93.36751000000001,Lush Green,8,hsv-primary
12,0.367,93.527257,Lush Green,8,hsv-primary
14,0.433,88.3290799,Inconsistent Growth,8,yolo-det
16,0.5,89.94035593,Lush Green,8,hsv-primary
18,0.567,81.138249151,Inconsistent Growth,12,yolo-det
20,0.633,79.29677440569999,Inconsistent Growth,14,yolo-det
22,0.7,74.16774208398999,Inconsistent Growth,16,yolo-det
24,0.767,74.147419458793,Inconsistent Growth,15,yolo-det
26,0.833,70.4731936211551,Inconsistent Growth,16,yolo-det
28,0.9,71.23123553480858,Inconsistent Growth,16,yolo-det
30,0.967,71.371864874366,Inconsistent Growth,18,yolo-det
32,1.033,76.00030541205619,Lush Green,18,hsv-primary
34,1.1,75.04021378843933,Inconsistent Growth,16,yolo-det
36,1.167,70.52814965190753,Inconsistent Growth,20,yolo-det
38,1.233,67.18970475633526,Inconsistent Growth,21,yolo-det
40,1.3,69.02279332943468,Inconsistent Growth,18,yolo-det
42,1.367,70.27595533060426,Inconsistent Growth,17,yolo-det
44,1.433,71.18316873142298,Inconsistent Growth,17,yolo-det
46,1.5,71.78821811199609,Inconsistent Growth,16,yolo-det
48,1.567,71.40175267839726,Inconsistent Growth,17,yolo-det
50,1.633,67.68122687487808,Inconsistent Growth,19,yolo-det
52,1.7,73.50685881241465,Lush Green,13,hsv-primary
54,1.767,68.97480116869025,Inconsistent Growth,19,yolo-det
56,1.833,73.42236081808316,Lush Green,18,hsv-primary
58,1.9,69.06565257265821,Inconsistent Growth,16,yolo-det
60,1.967,65.98595680086073,Inconsistent Growth,18,yolo-det
62,2.033,63.80016976060251,Inconsistent Growth,16,yolo-det
64,2.1,62.27011883242175,Inconsistent Growth,16,yolo-det
66,2.167,61.28908318269522,Inconsistent Growth,14,yolo-det
68,2.233,60.962358227886654,Inconsistent Growth,15,yolo-det
70,2.3,60.76365075952066,Inconsistent Growth,15,yolo-det
72,2.367,60.14455553166446,Inconsistent Growth,15,yolo-det
74,2.433,60.191188872165114,Inconsistent Growth,18,yolo-det
76,2.5,68.23383221051557,Lush Green,12,hsv-primary
78,2.567,74.2836825473609,Lush Green,10,hsv-primary
80,2.633,69.81857778315262,Inconsistent Growth,10,yolo-det
82,2.7,66.84300444820683,Inconsistent Growth,12,yolo-det
84,2.767,64.67010311374477,Inconsistent Growth,12,yolo-det
86,2.833,63.08907217962134,Inconsistent Growth,12,yolo-det
88,2.9,62.04235052573493,Inconsistent Growth,11,yolo-det
90,2.967,69.73964536801445,Lush Green,12,hsv-primary
92,3.033,66.87775175761011,Inconsistent Growth,12,yolo-det
94,3.1,64.96442623032708,Inconsistent Growth,12,yolo-det
96,3.167,63.50509836122895,Inconsistent Growth,13,yolo-det
98,3.233,70.28356885286027,Lush Green,13,hsv-primary
100,3.3,67.43849819700219,Inconsistent Growth,15,yolo-det
102,3.367,65.35694873790152,Inconsistent Growth,17,yolo-det
104,3.433,63.95986411653106,Inconsistent Growth,14,yolo-det
106,3.5,63.04190488157174,Inconsistent Growth,16,yolo-det
108,3.567,62.36933341710021,Inconsistent Growth,15,yolo-det
110,3.633,61.808533391970144,Inconsistent Growth,16,yolo-det
112,3.7,61.4759733743791,Inconsistent Growth,14,yolo-det
114,3.767,61.24318136206537,Inconsistent Growth,15,yolo-det
116,3.833,60.87022695344576,Inconsistent Growth,14,yolo-det
118,3.9,60.699158867412024,Inconsistent Growth,15,yolo-det
120,3.967,67.68941120718841,Lush Green,14,hsv-primary
122,4.033,65.26258784503189,Inconsistent Growth,14,yolo-det
124,4.1,63.563811491522316,Inconsistent Growth,15,yolo-det
126,4.167,62.31466804406562,Inconsistent Growth,17,yolo-det
128,4.233,61.470267630845925,Inconsistent Growth,17,yolo-det
130,4.3,60.909187341592144,Inconsistent Growth,16,yolo-det
132,4.367,60.4864311391145,Inconsistent Growth,16,yolo-det
134,4.433,60.22050179738015,Inconsistent Growth,17,yolo-det
136,4.5,59.9743512581661,Inconsistent Growth,19,yolo-det
138,4.567,59.742045880716276,Inconsistent Growth,20,yolo-det
140,4.633,59.54943211650139,Inconsistent Growth,19,yolo-det
142,4.7,59.35460248155097,Inconsistent Growth,17,yolo-det
144,4.767,59.09822173708568,Inconsistent Growth,16,yolo-det
146,4.833,58.82875521595997,Inconsistent Growth,17,yolo-det
148,4.9,58.70012865117198,Inconsistent Growth,17,yolo-det
150,4.967,58.67009005582038,Inconsistent Growth,18,yolo-det
152,5.033,58.319063039074265,Inconsistent Growth,18,yolo-det
154,5.1,58.34334412735198,Inconsistent Growth,16,yolo-det
156,5.167,58.330340889146385,Inconsistent Growth,16,yolo-det
158,5.233,58.35123862240246,Inconsistent Growth,16,yolo-det
160,5.3,63.40586703568172,Inconsistent Growth,13,hsv-primary
162,5.367,66.8841069249772,Inconsistent Growth,16,hsv-primary
164,5.433,68.50887484748404,Inconsistent Growth,15,hsv-primary
166,5.5,70.66621239323882,Inconsistent Growth,15,hsv-primary
168,5.567,72.41634867526717,Inconsistent Growth,12,hsv-primary
170,5.633,74.03144407268702,Inconsistent Growth,15,hsv-primary
172,5.7,75.28201085088091,Inconsistent Growth,16,hsv-primary
174,5.767,75.76740759561663,Inconsistent Growth,14,hsv-primary
176,5.833,75.65718531693165,Inconsistent Growth,14,hsv-primary
178,5.9,75.28002972185215,Inconsistent Growth,17,hsv-primary
180,5.967,74.9560208052965,Inconsistent Growth,17,hsv-primary
182,6.033,76.04921456370755,Inconsistent Growth,12,hsv-primary
184,6.1,75.49445019459529,Inconsistent Growth,15,hsv-primary
186,6.167,74.6561151362167,Inconsistent Growth,17,hsv-primary
188,6.233,73.97928059535168,Inconsistent Growth,17,hsv-primary
190,6.3,74.70549641674617,Inconsistent Growth,15,hsv-primary
192,6.367,74.82384749172232,Inconsistent Growth,16,hsv-primary
194,6.433,74.12669324420563,Inconsistent Growth,17,hsv-primary
196,6.5,73.66868527094394,Inconsistent Growth,18,hsv-primary
198,6.567,73.22807968966076,Inconsistent Growth,16,hsv-primary
200,6.633,72.88965578276253,Inconsistent Growth,19,hsv-primary
202,6.7,72.92275904793377,Inconsistent Growth,19,hsv-primary
204,6.767,72.58593133355363,Inconsistent Growth,17,hsv-primary
206,6.833,72.53015193348755,Inconsistent Growth,19,hsv-primary
208,6.9,73.24110635344128,Inconsistent Growth,16,hsv-primary
210,6.967,73.7087744474089,Inconsistent Growth,16,hsv-primary
212,7.033,72.77614211318622,Inconsistent Growth,13,hsv-primary
214,7.1,73.65329947923036,Inconsistent Growth,12,hsv-primary
216,7.167,73.51730963546125,Inconsistent Growth,13,hsv-primary
218,7.233,73.45211674482287,Inconsistent Growth,16,hsv-primary
220,7.3,73.496481721376,Inconsistent Growth,16,hsv-primary
222,7.367,72.26753720496319,Inconsistent Growth,12,hsv-primary
224,7.433,70.35727604347423,Inconsistent Growth,13,hsv-primary
226,7.5,70.13009323043195,Inconsistent Growth,15,hsv-primary
228,7.567,71.89106526130236,Inconsistent Growth,14,hsv-primary
230,7.633,71.47374568291164,Inconsistent Growth,11,hsv-primary
232,7.7,71.39162197803815,Bare Soil / Gap,13,hsv-primary
234,7.767,72.8341353846267,Bare Soil / Gap,16,hsv-primary
236,7.833,72.88389476923868,Bare Soil / Gap,15,hsv-primary
238,7.9,74.59872633846707,Bare Soil / Gap,14,hsv-primary
240,7.967,74.53910843692695,Bare Soil / Gap,12,hsv-primary
242,8.033,76.02737590584886,Bare Soil / Gap,14,hsv-primary
244,8.1,76.10916313409419,Bare Soil / Gap,14,hsv-primary
246,8.167,77.06641419386594,Bare Soil / Gap,12,hsv-primary
248,8.233,77.85648993570615,Lush Green,13,hsv-primary
250,8.3,77.41954295499431,Lush Green,17,hsv-primary
252,8.367,77.23368006849601,Lush Green,17,hsv-primary
254,8.433,71.5835760479472,Inconsistent Growth,20,yolo-det
256,8.5,74.07850323356304,Lush Green,17,hsv-primary
258,8.567,74.62495226349412,Lush Green,17,hsv-primary
260,8.633,69.81746658444588,Inconsistent Growth,18,yolo-det
262,8.7,66.4822266091121,Inconsistent Growth,18,yolo-det
264,8.767,64.17755862637847,Inconsistent Growth,21,yolo-det
266,8.833,62.59429103846493,Inconsistent Growth,20,yolo-det
268,8.9,61.51600372692545,Inconsistent Growth,16,yolo-det
270,8.967,60.82120260884781,Inconsistent Growth,15,yolo-det
272,9.033,66.03484182619346,Lush Green,14,hsv-primary
274,9.1,70.25438927833541,Lush Green,11,hsv-primary
276,9.167,74.79807249483478,Lush Green,12,hsv-primary
278,9.233,76.11865074638435,Lush Green,11,hsv-primary
280,9.3,79.77305552246904,Lush Green,10,hsv-primary
282,9.367,79.87113886572833,Lush Green,12,hsv-primary
284,9.433,79.90979720600983,Lush Green,12,hsv-primary
286,9.5,79.93685804420687,Lush Green,9,hsv-primary
288,9.567,80.2258006309448,Lush Green,8,hsv-primary
290,9.633,80.33806044166136,Lush Green,8,hsv-primary
292,9.7,80.59664230916295,Lush Green,7,hsv-primary
294,9.767,83.11764961641406,Lush Green,9,hsv-primary
296,9.833,82.69235473148984,Lush Green,9,hsv-primary
298,9.9,82.54464831204288,Lush Green,10,hsv-primary
300,9.967,84.42125381843,Lush Green,9,hsv-primary
302,10.033,77.09487767290099,Inconsistent Growth,14,yolo-det
304,10.1,78.7164143710307,Lush Green,9,hsv-primary
306,10.167,79.94149005972149,Lush Green,12,hsv-primary
308,10.233,82.32904304180504,Lush Green,12,hsv-primary
310,10.3,82.29033012926352,Lush Green,14,hsv-primary
312,10.367,82.62323109048447,Lush Green,13,hsv-primary
314,10.433,82.73626176333912,Lush Green,14,hsv-primary
316,10.5,82.75538323433737,Lush Green,13,hsv-primary
318,10.567,82.85876826403616,Lush Green,13,hsv-primary
320,10.633,83.23113778482531,Lush Green,10,hsv-primary
322,10.7,83.31179644937771,Lush Green,10,hsv-primary
324,10.767,83.1582575145644,Lush Green,10,hsv-primary
326,10.833,83.92078026019507,Lush Green,10,hsv-primary
328,10.9,83.25454618213655,Lush Green,11,hsv-primary
330,10.967,82.54818232749558,Lush Green,10,hsv-primary
332,11.033,81.9637276292469,Lush Green,12,hsv-primary
334,11.1,81.58460934047284,Lush Green,10,hsv-primary
336,11.167,83.80922653833098,Lush Green,9,hsv-primary
338,11.233,85.45645857683168,Lush Green,10,hsv-primary
340,11.3,84.05952100378217,Lush Green,11,hsv-primary
342,11.367,83.41166470264751,Lush Green,11,hsv-primary
344,11.433,84.00816529185326,Lush Green,7,hsv-primary
346,11.5,84.48571570429728,Lush Green,10,hsv-primary
348,11.567,83.41000099300808,Lush Green,13,hsv-primary
350,11.633,85.92700069510565,Lush Green,11,hsv-primary
352,11.7,84.62890048657394,Lush Green,11,hsv-primary
354,11.767,83.39023034060176,Lush Green,10,hsv-primary
356,11.833,82.64316123842123,Lush Green,9,hsv-primary
358,11.9,83.83021286689485,Lush Green,11,hsv-primary
360,11.967,84.87114900682639,Lush Green,10,hsv-primary
362,12.033,85.71980430477846,Lush Green,10,hsv-primary
364,12.1,85.98386301334492,Lush Green,9,hsv-primary
366,12.167,86.46870410934143,Lush Green,10,hsv-primary
368,12.233,88.338092876539,Lush Green,6,hsv-primary
370,12.3,88.92666501357729,Lush Green,6,hsv-primary
372,12.367,88.9786655095041,Lush Green,6,hsv-primary
374,12.433,86.43506585665287,Lush Green,6,hsv-primary
376,12.5,87.95454609965701,Lush Green,4,hsv-primary
378,12.567,88.4781822697599,Lush Green,5,hsv-primary
380,12.633,86.08472758883192,Lush Green,8,hsv-primary
382,12.7,85.09930931218234,Lush Green,7,hsv-primary
384,12.767,84.70951651852764,Lush Green,6,hsv-primary
386,12.833,83.80666156296934,Lush Green,7,hsv-primary
388,12.9,83.29466309407853,Lush Green,7,hsv-primary
390,12.967,83.14626416585497,Lush Green,7,hsv-primary
392,13.033,83.64238491609848,Lush Green,7,hsv-primary
394,13.1,85.60966944126893,Lush Green,5,hsv-primary
396,13.167,84.67676860888825,Lush Green,7,hsv-primary
398,13.233,84.95373802622177,Lush Green,7,hsv-primary
400,13.3,85.20761661835523,Lush Green,6,hsv-primary
402,13.367,87.27533163284866,Lush Green,5,hsv-primary
404,13.433,86.41273214299406,Lush Green,7,hsv-primary
406,13.5,86.46891250009583,Lush Green,5,hsv-primary
408,13.567,85.93823875006707,Lush Green,6,hsv-primary
410,13.633,86.13676712504694,Lush Green,8,hsv-primary
412,13.7,85.82573698753285,Lush Green,8,hsv-primary
414,13.767,85.96801589127298,Lush Green,8,hsv-primary
416,13.833,86.21761112389109,Lush Green,10,hsv-primary
418,13.9,86.30232778672375,Lush Green,8,hsv-primary
420,13.967,86.42162945070662,Lush Green,7,hsv-primary
422,14.033,86.44514061549462,Lush Green,10,hsv-primary
424,14.1,86.46159843084624,Lush Green,9,hsv-primary
426,14.167,86.56311890159236,Lush Green,9,hsv-primary
428,14.233,86.51418323111466,Lush Green,10,hsv-primary
430,14.3,86.20992826178025,Lush Green,13,hsv-primary
432,14.367,85.84694978324617,Lush Green,10,hsv-primary
434,14.433,77.73286484827231,Inconsistent Growth,14,yolo-det
436,14.5,72.05300539379061,Inconsistent Growth,14,yolo-det
438,14.567,68.10710377565343,Inconsistent Growth,13,yolo-det
440,14.633,65.2849726429574,Inconsistent Growth,15,yolo-det
442,14.7,63.369480850070175,Inconsistent Growth,17,yolo-det
444,14.767,61.99863659504912,Inconsistent Growth,14,yolo-det
446,14.833,61.06904561653438,Inconsistent Growth,15,yolo-det
448,14.9,60.44833193157406,Inconsistent Growth,16,yolo-det
450,14.967,67.90383235210184,Lush Green,14,hsv-primary
452,15.033,73.03268264647129,Lush Green,14,hsv-primary
454,15.1,69.5728778525299,Inconsistent Growth,14,yolo-det
456,15.167,73.87101449677093,Lush Green,11,hsv-primary
458,15.233,69.31971014773964,Inconsistent Growth,11,yolo-det
460,15.3,67.00379710341775,Inconsistent Growth,15,yolo-det
462,15.367,65.26265797239242,Inconsistent Growth,15,yolo-det
464,15.433,64.13386058067469,Inconsistent Growth,15,yolo-det
